id,name,src,price,weapon_id
1,"3rd Commando Company",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL21vdG9yY3ljbGVfZ2xvdmVzX21vdG9yY3ljbGVfY29tbWFuZG9fa3NrX2xpZ2h0LmFkYjlkMDNkNWEwOTY0OTk4NWQ2YzMxM2E5YTYyZDE3ZmM1MTkwODcucG5n/auto/auto/85/notrim/d209678fd0b5add6409936d5d4a2c4f8.webp,57.03,55
2,Abyss,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zc2cwOF9hcV9sZXZpYXRoYW5fbGlnaHQuMmY0MjNmODFkMTY5Y2JmMDMyMzBmMjFhMjlmOTA4Yzg0ZGFjNTA3My5wbmc-/auto/auto/85/notrim/6ae104b05be64ad6c121be1aa9ba525d.webp,0.08,29
3,"Abyssal Apparition",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfY3VfbXA3X2ZlYXJfbGlnaHQuZmRlYWQwZDIwN2ZjNGE1NWViY2ZmM2ZmOGEyMzg3MDZjNzM2NTU5My5wbmc-/auto/auto/85/notrim/5da0cf2c3e29e9083fb7c74d763a9795.webp,0.72,17
4,Acheron,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfaHlfbnVjbGVhcl9za3VsbHNfcmVkYmx1ZV9saWdodC5hZjFiNGYxN2JmOTE1M2EwZmIyZjFiYzRhYTBiOTY4YjMzY2EzZDQ2LnBuZw--/auto/auto/85/notrim/a44762fb905b44a11f0a9775440e002e.webp,0.19,3
5,"Acid Etched",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9oa3AyMDAwX2FxX3AyMDAwX2FjaWRfY2xvdmVyX2xpZ2h0LjA3MzhlMTViOTFkYTMwMDg5NTU2ZDEwNzVhZjMyN2NhYjE4ZmVjY2EucG5n/auto/auto/85/notrim/c792f828abda8b22bed4096b4d068926.webp,0.23,22
6,"Acid Wash",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDVzZF9nc19tcDVfZXRjaF9saWdodC5hZWNjM2MyOGMzMWU5ODY1OTg0Zjc0ZDI0YjZkYmRmMTU4M2E2OTYwLnBuZw--/auto/auto/85/notrim/83b1b7468ad94cf00f4c3783737ad0ee.webp,0.41,18
7,Aerial,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9jdV9zZzU1M19hZXJpYWxfbGlnaHQuYjE4MmVhMzJjMzk5MTQ1YmIzMjNlNjUzNzg2YjlhZmExMDcwMWQyNS5wbmc-/auto/auto/85/notrim/b0c9ed160b51ee93152af67f66e00e8a.webp,0.08,28
8,Afterimage,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9mYW1hc19jdV9icm9rZW5fcGF0aF9mYW1hc19saWdodC4xYWYwNjI3OTkyOGEyMTM4ZjhkNjZjMDdmMTNkYzRjMjVjZGRiNmU0LnBuZw--/auto/auto/85/notrim/e6caf557be1b890a59cdae5c3b419f96.webp,15.38,7
9,Agent,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDVzZF9nc19tcDVfZmJpX2xpZ2h0LjU5MDQ5ZGU3YTYzYTdjNmFjOGJkNTEzZDcyYjUwMzY0MGJiZGE4NTkucG5n/auto/auto/85/notrim/2951b0a821e75fd79defabc81f9fbbe3.webp,0.38,18
10,Airlock,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDlfY3VfbXA5X25hcmNpc19saWdodC43OTUyYWI4MGZjOTk3MjJhOWNkMTNmY2NkNjM4YzVmYzhlZTI5OWNjLnBuZw--/auto/auto/85/notrim/a5b53b126c455004966fd2f6f96dc0af.webp,1.08,19
